"TIME","DJIA","AAPL","AMZN","GOOG","MSFT","Next day stock prices increase? (Yes = 1)","AAPL","AMZN","GOOG","MSFT"
"2017-11-01","23435.01","166.89","1103.68","1025.5","83.18","","1.0","0.0","1.0","1.0"
"2017-11-02","23516.26","168.11","1094.22","1025.58","84.05","","1.0","1.0","1.0","1.0"
"2017-11-03","23539.19","172.5","1111.59","1032.48","84.14","","1.0","1.0","0.0","1.0"
"2017-11-06","23548.42","174.25","1120.66","1025.9","84.47","","1.0","1.0","1.0","0.0"
"2017-11-07","23557.23","174.81","1123.17","1033.33","84.27","","1.0","1.0","1.0","1.0"
"2017-11-08","23563.36","176.24","1132.88","1039.84","84.56","","0.0","0.0","0.0","0.0"
"2017-11-09","23461.94","175.88","1129.13","1031.26","84.09","","0.0","0.0","0.0","0.0"
"2017-11-10","23422.21","174.67","1125.34","1028.07","83.87","","0.0","1.0","0.0","1.0"
"2017-11-13","23439.7","173.97","1129.17","1025.75","83.93","","0.0","1.0","1.0","1.0"
"2017-11-14","23409.47","171.34","1136.83","1026.0","84.05","","0.0","0.0","0.0","0.0"
"2017-11-15","23271.28","169.08","1126.69","1020.91","82.98","","1.0","1.0","1.0","1.0"
"2017-11-16","23458.36","171.1","1137.29","1032.5","83.2","","0.0","0.0","0.0","0.0"
"2017-11-17","23358.24","170.15","1129.88","1019.09","82.4","","0.0","0.0","0.0","1.0"
"2017-11-20","23430.33","169.98","1126.31","1018.38","82.53","","1.0","1.0","1.0","1.0"
"2017-11-21","23590.83","173.14","1139.49","1034.49","83.72","","1.0","1.0","1.0","0.0"
"2017-11-22","23526.18","174.96","1156.16","1035.96","83.11","","1.0","1.0","1.0","1.0"
"2017-11-24","23557.99","174.97","1186.0","1040.6","83.26","","0.0","1.0","1.0","1.0"
"2017-11-27","23580.78","174.09","1195.83","1054.21","83.87","","0.0","0.0","0.0","1.0"
"2017-11-28","23836.71","173.07","1193.59","1047.41","84.88","","0.0","0.0","0.0","0.0"
"2017-11-29","23940.68","169.48","1161.27","1021.66","83.34","","1.0","1.0","0.0","1.0"
"2017-11-30","24272.35","171.85","1176.75","1021.41","84.17","","0.0","0.0","0.0","1.0"
